X	Y	Z	Fi
31.5	45.5	274.5	23.870001
32.5	45.5	274.5	22.01
33.5	45.5	274.5	15.370514
34.5	45.5	274.5	22.79656
35.5	45.5	274.5	13.4
36.5	45.5	274.5	10.127382
37.5	45.5	274.5	24.431257
38.5	45.5	274.5	24.620001
39.5	45.5	274.5	13.760801
40.5	45.5	274.5	22.923069
41.5	45.5	274.5	20.540531
42.5	45.5	274.5	7.0629821
43.5	45.5	274.5	19.709538
44.5	45.5	274.5	16.302486
45.5	45.5	274.5	19.807785
46.5	45.5	274.5	8.557621
47.5	45.5	274.5	5.1137743
48.5	45.5	274.5	4.7385345
49.5	45.5	274.5	13.28
50.5	45.5	274.5	2.52
51.5	45.5	274.5	22.51
52.5	45.5	274.5	24.724802
53.5	45.5	274.5	27.874096
54.5	45.5	274.5	25.003717
55.5	45.5	274.5	27.700001
56.5	45.5	274.5	30.709999
57.5	45.5	274.5	28.83
58.5	45.5	274.5	32.439999
59.5	45.5	274.5	28.780001
60.5	45.5	274.5	30.56522
61.5	45.5	274.5	34.049999
62.5	45.5	274.5	34.243935
63.5	45.5	274.5	30.945557
64.5	45.5	274.5	29.775803
65.5	45.5	274.5	34.869999
66.5	45.5	274.5	27.649881
67.5	45.5	274.5	31.129457
68.5	45.5	274.5	27.79011
69.5	45.5	274.5	33.91
70.5	45.5	274.5	29.190001
71.5	45.5	274.5	27.052914
72.5	45.5	274.5	24.625156
73.5	45.5	274.5	28.83
74.5	45.5	274.5	27.642553
75.5	45.5	274.5	24.973322
76.5	45.5	274.5	24.969999
77.5	45.5	274.5	26.854097
78.5	45.5	274.5	29.299999
79.5	45.5	274.5	26.049999
80.5	45.5	274.5	30.719999
81.5	45.5	274.5	34.762871
82.5	45.5	274.5	29.047464
83.5	45.5	274.5	34.52
84.5	45.5	274.5	32.062878
85.5	45.5	274.5	34.406643
86.5	45.5	274.5	29.68
87.5	45.5	274.5	29.375866
88.5	45.5	274.5	34.807777
89.5	45.5	274.5	26.090134
90.5	45.5	274.5	23.790001
91.5	45.5	274.5	23.47657
92.5	45.5	274.5	22.815372
93.5	45.5	274.5	24.677412
94.5	45.5	274.5	21.27
95.5	45.5	274.5	26.719999
96.5	45.5	274.5	25.846069
97.5	45.5	274.5	27.551619
98.5	45.5	274.5	31.940001
99.5	45.5	274.5	31.003845
0.5	45.5	275.5	32.948624
1.5	45.5	275.5	28.997307
2.5	45.5	275.5	34.701492
3.5	45.5	275.5	32.348465
4.5	45.5	275.5	27.110001
5.5	45.5	275.5	34.48
6.5	45.5	275.5	26.309177
7.5	45.5	275.5	26.040001
8.5	45.5	275.5	21.373808
9.5	45.5	275.5	27.68
10.5	45.5	275.5	21.25
11.5	45.5	275.5	20.459736
12.5	45.5	275.5	27.93
13.5	45.5	275.5	29.536007
14.5	45.5	275.5	24.278482
15.5	45.5	275.5	19.172359
16.5	45.5	275.5	8.0953541
17.5	45.5	275.5	16.865093
18.5	45.5	275.5	13.968647
19.5	45.5	275.5	13.05349
20.5	45.5	275.5	18.660086
21.5	45.5	275.5	20.791683
22.5	45.5	275.5	21.25
23.5	45.5	275.5	17.086811
24.5	45.5	275.5	16.380772
25.5	45.5	275.5	17.628893
