KT3D ESTIMATES WITH:  Normal Score Transform: UTF-A Oil Sand Formation Data     
    2   50   30   20
Estimate
EstimationVariance
 3305.2266     0.71242636    
 3328.5732     0.70531452    
 3290.9058     0.73254973    
 3238.0430     0.78109443    
 3186.5320     0.83743852    
 3130.2820     0.89686960    
 3069.9609     0.95675874    
 3007.2219      1.0153593    
 2943.4570      1.0713671    
 2879.6460      1.1237211    
 523.01984      1.0230088    
 502.46832     0.99310780    
 485.23566     0.96459144    
 469.13513     0.94038367    
 458.82608     0.92537636    
 503.43878     0.92410630    
 508.60556     0.93303525    
 426.98685     0.92708385    
 519.85498     0.93212050    
 479.66791     0.94196206    
 470.02274     0.95201510    
 405.07803     0.95841932    
 405.39676     0.96683639    
 599.56409      1.0414978    
 823.89062      1.0511726    
 705.90509      1.0135134    
 637.88568     0.98768789    
 537.43378     0.96461338    
 562.81958     0.95204365    
 560.29480     0.95754302    
 562.27441     0.93904543    
 859.78827     0.80771029    
 846.32825     0.75073957    
 1413.5387     0.68797410    
 1462.0826     0.62157458    
 1530.7327     0.57874388    
 1502.3928     0.58319587    
 1736.8480     0.63445503    
 2083.9856     0.70702446    
 1910.2726     0.80490214    
 2098.8079     0.84283984    
 2321.1548     0.88726640    
 2485.3909     0.93776572    
 2702.4897     0.98778951    
 3057.4780      1.0422674    
 2435.7009     0.87537080    
 3097.4214     0.83895463    
 3225.6021     0.81170899    
 3285.0605     0.74496043    
 3346.6016     0.68229151    
 3412.0630     0.63080180    
 3458.2134     0.60687840    
 3399.3540     0.63544458    
 3329.1736     0.69143921    
 3269.5393     0.75606161    
 3210.0884     0.82347000    
 3148.2896     0.89089346    
 3084.3594     0.95668477    
 3019.1853      1.0196805    
 2953.6438      1.0789477    
 549.36139      1.0575840    
 532.59595      1.0335261    
 516.60370      1.0106498    
 505.07465     0.99119067    
 496.41205     0.97959375    
 494.29327     0.97878212    
 552.00659     0.98716170    
 459.10437     0.97325897    
 556.42456     0.97139430    
 509.04364     0.97454697    
 458.80902     0.97786486    
 415.71210     0.97889680    
 411.58655     0.98319948    
 601.19165      1.0457414    
 826.96252      1.0587234    
 818.70355      1.0405993    
 646.47955      1.0098823    
 525.27545     0.99538672    
 546.67023     0.99210608    
 547.40479      1.0125813    
 536.32532     0.91419810    
 936.09644     0.81715035    
 894.62207     0.76083231    
 1276.6793     0.71041703    
 1074.8835     0.65948749    
 1367.7024     0.62560666    
 1410.0022     0.61675620    
 1512.7177     0.62759620    
 1887.8994     0.68807268    
 1676.2678     0.78570640    
 1781.5990     0.82806700    
 1970.5526     0.87562424    
 2357.0815     0.92913449    
 2640.5332     0.98205805    
 2634.0366      1.0368413    
 2333.6758     0.88695091    
 3051.8301     0.86324519    
 3185.6682     0.85054535    
 3245.9812     0.78288364    
 3304.8945     0.71669096    
 3368.8501     0.65616530    
 3447.4824     0.61199296    
 3435.7385     0.61658472    
 3372.6655     0.65971965    
 3309.1697     0.71913236    
 3249.3923     0.78477937    
 3189.5505     0.85225499    
 3128.1062     0.91921997    
 3065.0947     0.98418581    
 3001.1013      1.0460556    
 566.87170      1.0806952    
 553.08228      1.0614204    
 540.18604      1.0433880    
 529.49896      1.0285583    
 525.37927      1.0204802    
 524.97302      1.0216781    
 528.84711      1.0295335    
 487.11948      1.0110884    
 574.64160      1.0061022    
 659.49738      1.0045983    
 453.13510      1.0029491    
 427.22211     0.99969041    
 419.48209      1.0001577    
 603.61053      1.0465455    
 828.99994      1.0587149    
 820.81885      1.0409040    
 700.99805      1.0143859    
 532.53638      1.0051073    
 552.33710      1.0091292    
 405.67767     0.93021923    
 726.78217     0.85296470    
 760.46509     0.79498750    
 764.22076     0.73883694    
 1051.3115     0.68818158    
 1161.0315     0.64832228    
 1231.7585     0.62974757    
 1318.0897     0.62219745    
 1467.1464     0.62971938    
 1650.2145     0.64709324    
 1388.3275     0.72247231    
 1623.9082     0.77217412    
 1737.2377     0.82754034    
 1942.9633     0.88520104    
 2026.4517     0.94361019    
 1967.9453      1.0037087    
 2172.0046     0.90110731    
 2931.0627     0.90006965    
 3106.5488     0.92088145    
 3164.6174     0.86101574    
 3217.9031     0.80303168    
 3268.5291     0.75055963    
 3324.8918     0.71145022    
 3313.7715     0.70680088    
 3292.5632     0.72648752    
 3264.0632     0.76223868    
 3225.0295     0.80937135    
 3178.2676     0.86355436    
 3126.2871     0.92129540    
 3070.7249     0.98002088    
 3152.8940      1.0423741    
 552.34668      1.0922105    
 564.66760      1.0769111    
 553.99976      1.0626671    
 545.47351      1.0514685    
 541.31555      1.0466619    
 544.88470      1.0498834    
 549.87451      1.0587926    
 506.19611      1.0369861    
 563.82898      1.0313898    
 640.13715      1.0266058    
 488.49445      1.0218685    
