17.86	-1.722606611	1868.07	-1.722606611	-1.6570364			
17.94	-1.718137329	1817.03	-1.718137329	-1.672272782			
17.97	-1.716466485	1844.35	-1.716466485	-1.664064795			
17.98	-1.715910157	1903.42	-1.715910157	-1.646725849			
18.02	-1.713687934	1818.73	-1.713687934	-1.671758446			
18.05	-1.712024501	1881.11	-1.712024501	-1.653210481			
18.09	-1.709810887	1833.56	-1.709810887	-1.667291909			
18.13	-1.707602161	1842.72	-1.707602161	-1.664551089			
18.15	-1.706499625	1904.07	-1.706499625	-1.646538061			
18.16	-1.705948813	1825.56	-1.705948813	-1.669696862			
18.3	-1.698269126	1873.61	-1.698269126	-1.655407718			
18.48	-1.68848112	1877.92	-1.68848112	-1.654143967			
18.57	-1.683622811	1866.66	-1.683622811	-1.657451691			
18.63	-1.680397001	2043.55	-1.680397001	-1.607655926			
18.66	-1.678787991	2043.37	-1.678787991	-1.607704373			
18.67	-1.678252228	1876.1	-1.678252228	-1.654677262			
18.71	-1.676112046	1901.42	-1.676112046	-1.64730406			
18.74	-1.674509909	1957.52	-1.674509909	-1.631311495			
18.85	-1.668657272	1920.62	-1.668657272	-1.641778169			
18.85	-1.668657272	1909.19	-1.668657272	-1.645061109			
18.86	-1.668126909	1986.52	-1.668126909	-1.623223196			
18.88	-1.667067025	1960.95	-1.667067025	-1.630348619			
18.88	-1.667067025	1914.92	-1.667067025	-1.643412881			
18.9	-1.666008264	1918.95	-1.666008264	-1.642256608			
18.9	-1.666008264	1966.33	-1.666008264	-1.628841723			
18.9	-1.666008264	1926.01	-1.666008264	-1.640236819			
19.02	-1.659679129	1950.35	-1.659679129	-1.633329733			
19.08	-1.65652952	1936.71	-1.65652952	-1.637189735			
19.13	-1.653912403	1960.81	-1.653912403	-1.630387887			
19.14	-1.6533898	2067.92	-1.6533898	-1.601135797			
19.16	-1.652345413	1967.82	-1.652345413	-1.628425114			
19.17	-1.651823629	1954.4	-1.651823629	-1.632188814			
19.19	-1.650780876	1954.6	-1.650780876	-1.632132534			
19.2	-1.650259907	1951.62	-1.650259907	-1.632971708			
19.33	-1.643511893	1960.06	-1.643511893	-1.6305983			
19.39	-1.640412717	1963.28	-1.640412717	-1.629695497			
19.43	-1.638351923	1978.54	-1.638351923	-1.625437037			
19.45	-1.637323116	1996.29	-1.637323116	-1.620524845			
19.46	-1.636809109	2046.79	-1.636809109	-1.606784605			
19.47	-1.636295367	1979.39	-1.636295367	-1.625200803			
19.52	-1.633730605	2005.56	-1.633730605	-1.617976769			
19.58	-1.630661549	2015.72	-1.630661549	-1.615197548			
19.59	-1.630150954	2002.58	-1.630150954	-1.618794604			
19.6	-1.62964062	1999.41	-1.62964062	-1.619665921			
19.71	-1.624044065	1994.07	-1.624044065	-1.62113682			
19.79	-1.619993426	2006.3	-1.619993426	-1.61777387			
19.81	-1.618983325	2025.93	-1.618983325	-1.612418727			
19.82	-1.618478657	1999.17	-1.618478657	-1.619731945			
19.85	-1.616966179	2240.19	-1.616966179	-1.557126221			
19.88	-1.615455985	2032.01	-1.615455985	-1.610770599			
19.91	-1.613948068	2035.38	-1.613948068	-1.609859203			
